"RutC","Nombre"
"10006458-2","Rafael Flores"
"10013917-4","Carolina Nuñez"
"10019146-1","Sam Herrera"
"10036675-3","Elena Rojas"
"10064831-2","Ignacio Torres"
"10081293-7","Julieta Garcia"
"10087763-k","Fernando Rodriguez"
"10108040-k","Alex Godoy"
"10125184-2","Luna Ramirez"
"10175302-0","Catalina Nuñez"
"10195028-0","Sebastian Suarez"
"10201993-0","Facundo Quinteros"
"10240021-9","Carlos Herrera"
"10254708-9","Facundo Acosta"
"10254802-8","Marisol Godoy"
"10274120-1","Tamara Martinez"
"10284246-7","Tamara Lopez"
"10297836-4","Isabel Alvarez"
"10304805-0","Felipe Martinez"
"10313654-k","Isabel Quinteros"
"10313918-0","Javier Vega"
"10335401-2","Angel Rojas"
"10342678-8","Andres Fernandez"
"10348169-5","Paula Benitez"
"10348708-7","Lucas Morales"
"10397871-4","Ximena Herrera"
"10399371-6","Bianca Sanchez"
"10407178-k","Emilio Alvarez"
"10409105-6","Natalia Gomez"
"10425256-0","Bianca Pereyra"
"10428168-8","Raul Aguirre"
"10441269-7","Ivan Gutierrez"
"10444682-9","Joaquin Martinez"
"10459593-0","Tamara Ruiz"
"10459712-1","Paulina Molina"
"10462208-2","Raul Perez"
"10499395-2","Flor Rojas"
"10522712-1","Esteban Bueno"
"10526480-5","Benjamin Diaz"
"10542388-9","Karla Rojas"
"10550050-8","Macarena Ramirez"
"10574225-1","Carolina Gutierrez"
"10581922-6","Luna Quinteros"
"10584155-4","Javier Muñoz"
"10592245-9","Ian Perez"
"10600584-6","Andrea Castro"
"10605365-3","Ivan Nuñez"
"10606931-7","Emilio Molina"
"10614220-k","Camilo Herrera"
"10620918-k","Daniela Garcia"
"10627199-5","Tamara Lopez"
"10631083-4","Catalina Molina"
"10646561-4","Sofia Sanchez"
"10647983-4","Esteban Castro"
"10665484-7","Camilo Martinez"
"10667240-k","Juan Aguirre"
"10670426-k","Juan Vega"
"10686854-8","Paulina Muñoz"
"10693941-0","Diego Molina"
"10696260-1","Antonio Rios"
"10715773-7","Maria Nuñez"
"10727329-0","Antonio Nuñez"
"10727844-8","Laura Acosta"
"10738513-2","Fernando Medina"
"10745716-0","Javier Morales"
"10754194-8","Francisca Torres"
"10766762-5","Carlos Fernandez"
"10767560-9","Carlos Romero"
"10774675-3","Ana Sosa"
"10789677-6","Carolina Sanchez"
"10790424-1","Javier Rojas"
"10798961-2","Bianca Romero"
"10811644-4","Tamara Gonzalez"
"10818037-7","Sebastian Sosa"
"10830089-0","Francisca Medina"
"10888624-8","Fernando Torres"
"10908890-4","Pablo Torres"
"10913321-4","Javier Pereyra"
"10915947-6","Carlos Aguirre"
"10917145-6","Nicole Romero"
"10928461-8","Luna Ramirez"
"10939100-6","Luna Pereyra"
"10945442-k","Ian Lopez"
"10947857-0","Bruno Herrera"
"10987100-k","Luis Molina"
"10992083-4","Felipe Torres"
"10999391-6","Dylan Bueno"
"11007082-7","Ivan Quinteros"
"11011210-1","Ian Rodriguez"
"11034471-3","Sofia Ramirez"
"11048591-7","Camilo Silva"
"11048683-5","Sofia Silva"
"11061492-2","Felipe Lopez"
"11068671-k","Gabriela Gutierrez"
"11123018-7","Valeria Martinez"
"11135976-6","Dylan Sanchez"
"11148305-4","Celeste Torres"
"11163437-7","Diego Lopez"
"11178250-k","Angel Lopez"
"11188506-k","Macarena Silva"
"11202355-8","Ivan Nuñez"
"11203862-k","Natalia Romero"
"11211375-1","Marisol Silva"
"11227028-5","Pedro Diaz"
"11255458-6","Pamela Ramirez"
"11276563-9","Lucas Aguirre"
"11292025-k","Rebeca Fernandez"
"11292358-5","Tamara Martinez"
"11310988-4","Luis Sanchez"
"11336301-8","Sofia Castro"
"11344303-8","Facundo Nuñez"
"11352923-2","Luna Quinteros"
"11369817-0","Alfredo Garcia"
"11386599-3","Flor Alvarez"
"11428132-4","Ivan Godoy"
"11454209-4","Matias Alvarez"
"11474037-4","Joaquin Aguirre"
"11474375-k","Matias Aguirre"
"11490785-4","Isidora Flores"
"11499588-0","Alex Rojas"
"11521681-7","Luna Herrera"
"11522656-7","Natalia Alvarez"
"11558474-8","Joaquin Quinteros"
"11564773-3","Luna Nuñez"
"11578148-6","Ivan Molina"
"11610579-3","Emilio Rodriguez"
"11617022-8","Pedro Herrera"
"11622734-8","Felipe Muñoz"
"11636733-8","Bruno Gonzalez"
"11641123-8","Daniel Sosa"
"11642766-6","Laura Garcia"
"11648952-8","Maria Sanchez"
"11655553-0","Andrea Suarez"
"11662701-5","Sara Martinez"
"11665981-8","Fernando Muñoz"
"11666789-9","Ivan Perez"
"11681144-4","Enrique Suarez"
"11682461-5","Bianca Godoy"
"11685160-k","Tamara Flores"
"11700326-1","Daniel Quinteros"
"11702686-7","Camilo Gomez"
"11713289-4","Javier Ramirez"
"11726357-3","Isidora Alvarez"
"11751504-6","Sam Rodriguez"
"11756496-7","Sofia Benitez"
"11761984-4","Pablo Lopez"
"11781936-9","Elena Garcia"
"11788676-9","Pablo Herrera"
"11796245-6","Natalia Acosta"
"11810558-3","Ximena Fernandez"
"11813185-2","Enrique Rios"
"11830357-4","Antonio Acosta"
"11836950-7","Matias Rios"
"11846904-7","Facundo Godoy"
"11855650-3","Angel Diaz"
"11891446-1","Paula Muñoz"
"11893748-7","Enrique Garcia"
"11894783-5","Ana Medina"
"11896298-8","Alan Martinez"
"11902049-k","Natalia Garcia"
"11907362-2","Daniel Martinez"
"11937881-7","Isidora Fernandez"
"11943813-5","Alex Sanchez"
"11947826-6","Nicolas Vega"
"11964916-5","Daniela Perez"
"11966213-6","Pamela Romero"
"11989062-8","Bianca Sosa"
"12026162-1","Rafael Fernandez"
"12086364-5","Hugo Sanchez"
"12108050-4","Juan Alvarez"
"12108855-5","Ivan Herrera"
"12141655-1","Sara Gomez"
"12156610-1","Roberto Perez"
"12161292-9","Sam Martinez"
"12193723-9","Matias Romero"
"12207875-4","Pedro Perez"
"12213908-1","Hugo Pereyra"
"12216436-8","Luis Lopez"
"12224854-7","Julian Rodriguez"
"12226775-0","Ricardo Gonzalez"
"12288787-1","Alfredo Torres"
"12294463-4","Matias Garcia"
"12297602-9","Natalia Rojas"
"12327502-7","Esteban Gomez"
"12344953-1","Maria Godoy"
