"RutCliente","NúmProducto","Fecha"
"10240021-9","1","2011-02-28"
"10254802-8","1","2010-11-26"
"10522712-1","1","2011-06-06"
"10606931-7","1","2011-05-10"
"10915947-6","1","2010-08-26"
"10915947-6","1","2012-09-16"
"11702686-7","1","2011-08-17"
"11726357-3","1","2011-06-27"
"11781936-9","1","2012-03-21"
"11796245-6","1","2011-08-07"
"11893748-7","1","2011-08-22"
"12108050-4","1","2012-04-16"
"12108050-4","1","2012-09-26"
"12141655-1","1","2012-05-17"
"12557352-7","1","2010-07-16"
"12611884-7","1","2012-05-03"
"12621014-3","1","2012-06-24"
"12779727-2","1","2012-05-14"
"12977668-4","1","2010-08-27"
"13472983-4","1","2010-05-14"
"13472983-4","1","2011-02-27"
"13579572-3","1","2012-08-26"
"13615018-5","1","2010-04-26"
"13736347-9","1","2012-01-23"
"13758816-9","1","2011-10-09"
"13806504-0","1","2012-07-08"
"13867565-2","1","2012-08-29"
"13917978-3","1","2012-08-23"
"14123263-6","1","2012-08-09"
"14228135-6","1","2010-04-08"
"14253634-7","1","2011-11-09"
"14335613-8","1","2011-08-13"
"14425090-8","1","2010-07-18"
"14769498-0","1","2010-07-15"
"14966767-0","1","2011-03-22"
"14969971-1","1","2010-08-28"
"15037830-6","1","2010-12-19"
"15216115-k","1","2011-03-18"
"15370277-8","1","2010-11-19"
"15778657-5","1","2012-02-01"
"15905243-1","1","2011-11-15"
"15979046-4","1","2010-06-26"
"15980862-0","1","2010-06-22"
"16218569-2","1","2010-09-23"
"16218569-2","1","2012-02-22"
"16505716-0","1","2011-06-10"
"17008439-3","1","2012-01-30"
"17227791-4","1","2011-09-27"
"17230815-1","1","2010-12-29"
"17266587-6","1","2012-02-01"
"17442488-5","1","2010-10-02"
"17631731-6","1","2010-05-23"
"17817723-4","1","2012-09-11"
"17878980-0","1","2010-04-10"
"17888292-3","1","2011-07-27"
"18129935-1","1","2010-07-03"
"18299515-4","1","2012-02-17"
"18606698-6","1","2010-04-09"
"19055198-0","1","2010-09-23"
"19116057-2","1","2012-01-14"
"19259002-8","1","2012-09-30"
"19363861-8","1","2011-06-19"
"19486046-8","1","2011-02-19"
"19769634-2","1","2010-08-04"
"19859239-6","1","2012-01-21"
"19979491-4","1","2010-04-06"
"20110809-8","1","2010-10-30"
"20199967-9","1","2010-11-18"
"20211889-7","1","2011-03-16"
"20332018-5","1","2011-01-25"
"20337295-1","1","2011-11-29"
"20441380-9","1","2011-07-08"
"20513198-8","1","2011-06-01"
"20535525-0","1","2011-05-24"
"20819150-8","1","2010-10-15"
"8087060-3","1","2010-11-16"
"8943136-3","1","2011-08-27"
"9060547-7","1","2012-03-06"
"9105934-8","1","2011-03-25"
"9136245-5","1","2011-01-18"
"9150059-0","1","2011-07-04"
"9445879-6","1","2011-08-23"
"9613633-k","1","2010-08-09"
"9633237-k","1","2011-09-25"
"9829004-8","1","2011-07-21"
"9969055-k","1","2010-11-24"
"10013917-4","2","2011-02-12"
"10274120-1","2","2012-08-27"
"10425256-0","2","2011-05-01"
"10696260-1","2","2011-04-16"
"11007082-7","2","2010-05-21"
"11499588-0","2","2012-08-28"
"11636733-8","2","2012-05-17"
"11666789-9","2","2012-06-11"
"12213908-1","2","2012-04-26"
"12636133-9","2","2011-03-14"
"13080141-3","2","2010-08-07"
"13327869-1","2","2011-05-09"
"13451617-5","2","2011-04-25"
"13579572-3","2","2012-08-27"
"13595142-k","2","2010-11-01"
"13615018-5","2","2011-08-10"
"13715843-9","2","2012-08-15"
"13806504-0","2","2011-03-07"
"13806504-0","2","2011-04-13"
"13823508-k","2","2010-09-07"
"14016140-1","2","2012-05-16"
"14105296-k","2","2012-06-14"
"14123263-6","2","2011-05-17"
"14423549-4","2","2010-08-24"
"14427648-k","2","2012-07-08"
"14556123-k","2","2010-08-04"
"14599488-k","2","2010-05-12"
"14768676-8","2","2011-02-12"
"14916521-3","2","2012-08-04"
"14932061-0","2","2011-01-18"
"15111350-2","2","2012-02-21"
"15177835-k","2","2011-09-04"
"15181722-2","2","2012-03-07"
"15227805-2","2","2012-03-23"
"15227805-2","2","2012-04-26"
"15407187-1","2","2012-03-01"
"15485703-6","2","2012-08-13"
"15638885-2","2","2011-06-04"
"15652727-2","2","2010-12-04"
"15700784-3","2","2011-04-15"
"15738269-9","2","2012-03-02"
"15804106-8","2","2010-10-11"
"15980862-0","2","2011-12-12"
"16130198-2","2","2012-01-27"
"16167206-3","2","2011-08-04"
"16240288-k","2","2012-03-03"
"16267009-9","2","2011-04-12"
"16439783-k","2","2010-04-30"
"16710780-9","2","2010-12-15"
"17363606-8","2","2011-05-06"
"17511451-0","2","2011-06-13"
"17626467-5","2","2010-06-28"
"18516050-1","2","2011-12-22"
"18572600-8","2","2012-09-11"
"18636428-8","2","2010-06-11"
"19087032-k","2","2011-06-26"
"19216713-2","2","2010-06-22"
"19255050-9","2","2012-09-30"
"19278133-8","2","2011-10-23"
"19391599-3","2","2011-11-12"
"19483637-3","2","2010-07-07"
"19528301-0","2","2011-10-07"
"19552856-3","2","2011-03-25"
"19837396-5","2","2012-09-20"
"20045388-0","2","2012-08-02"
"20110809-8","2","2011-04-14"
"20762457-k","2","2010-11-13"
"20971238-k","2","2012-08-12"
"8065301-k","2","2012-05-07"
"8252253-7","2","2011-06-03"
"8369907-k","2","2011-11-21"
"8475507-3","2","2011-09-30"
"8620394-k","2","2012-06-12"
"8637460-6","2","2010-07-30"
"8649952-8","2","2012-08-16"
"9136245-5","2","2012-01-03"
"9201513-6","2","2011-10-03"
"9205611-4","2","2010-12-05"
"9255049-1","2","2010-04-15"
"9552104-1","2","2012-06-22"
"9691445-8","2","2012-04-07"
"10254708-9","3","2010-07-11"
"10254708-9","3","2012-01-25"
"10274120-1","3","2012-03-14"
"10348708-7","3","2011-03-09"
"10627199-5","3","2011-09-23"
"10667240-k","3","2010-08-17"
"10790424-1","3","2012-08-19"
"11061492-2","3","2011-02-13"
"11068671-k","3","2011-03-12"
"11135976-6","3","2011-10-17"
"11796245-6","3","2012-08-20"
"11966213-6","3","2011-02-23"
"12207875-4","3","2012-09-19"
"12297602-9","3","2011-03-16"
"12344953-1","3","2010-05-26"
"12867277-k","3","2011-04-23"
"13158500-6","3","2011-03-01"
"13253355-2","3","2011-05-17"
"13421144-k","3","2012-06-24"
"13495835-8","3","2012-07-23"
"13579572-3","3","2011-02-18"
"13675642-2","3","2010-05-03"
"13767966-8","3","2012-07-16"
"13823508-k","3","2012-06-18"
"13867565-2","3","2010-07-31"
"13943240-4","3","2012-02-13"
"14044949-2","3","2010-11-26"
"14218125-7","3","2011-04-16"
"14228135-6","3","2011-01-11"
"14298983-4","3","2012-08-26"
"14919705-6","3","2010-07-30"
"14932061-0","3","2010-12-30"
"14966767-0","3","2012-01-19"
"14969971-1","3","2011-07-16"
"15130000-9","3","2010-12-20"
"15738269-9","3","2011-12-27"
"15918301-2","3","2011-12-29"
"16494777-6","3","2012-08-15"
"16549557-k","3","2012-03-07"
"16891185-0","3","2012-04-24"
"17031562-k","3","2012-06-29"
"17210477-3","3","2012-06-18"
"17461603-k","3","2011-06-26"
"17708405-5","3","2011-04-25"
"18206492-4","3","2011-11-27"
"19055198-0","3","2010-10-31"
"19294495-9","3","2012-02-12"
"19575731-6","3","2011-09-30"
"19622993-8","3","2011-04-29"
"19622993-8","3","2012-09-10"
"19679629-1","3","2011-03-11"
"20050867-7","3","2012-06-05"
"20064244-5","3","2011-01-18"
"20113042-4","3","2010-04-25"
"20113042-4","3","2012-03-19"
"20158464-6","3","2010-08-05"
"20158464-6","3","2012-04-20"
"20319057-9","3","2011-09-03"
"20372200-2","3","2011-04-24"
"8147134-8","3","2011-07-25"
"8304051-8","3","2011-11-25"
"8571430-5","3","2011-03-24"
"8571430-5","3","2011-08-24"
"8620394-k","3","2011-09-18"
"8891180-4","3","2012-05-04"
"9150059-0","3","2010-10-28"
"9321178-5","3","2011-09-21"
"9444324-8","3","2012-04-12"
"9719816-2","3","2010-07-14"
"9791023-4","3","2011-12-20"
"9838255-4","3","2012-01-13"
"9914406-k","3","2011-09-10"
"9937779-0","3","2010-12-19"
"10274120-1","4","2012-05-14"
"10313918-0","4","2011-09-09"
"10342678-8","4","2010-12-12"
"10441269-7","4","2011-06-29"
"10459593-0","4","2012-05-09"
"10462208-2","4","2010-09-03"
"10550050-8","4","2012-06-01"
"10665484-7","4","2010-08-24"
"10928461-8","4","2010-12-18"
"11048683-5","4","2012-02-14"
"11336301-8","4","2011-04-01"
"12216436-8","4","2010-09-17"
"12224854-7","4","2011-01-01"
"12383272-4","4","2011-01-02"
"12773333-3","4","2012-09-25"
"13138149-8","4","2010-06-26"
"13527954-6","4","2011-10-16"
"13644034-0","4","2010-08-02"
"13715843-9","4","2010-11-04"
"14016140-1","4","2011-02-06"
"14300378-8","4","2012-09-18"
"14373370-8","4","2010-12-30"
"14401608-5","4","2011-12-16"
"14918424-8","4","2011-12-23"
"15395078-9","4","2012-06-14"
"15485703-6","4","2012-08-10"
"15652727-2","4","2010-08-10"
"15653202-7","4","2011-06-09"
"15777229-1","4","2011-02-08"
"15778657-5","4","2012-01-27"
"16334864-0","4","2010-06-02"
"16346514-9","4","2010-11-15"
"16569650-8","4","2010-10-02"
"16569650-8","4","2012-02-10"
"16653880-4","4","2011-03-20"
"16891185-0","4","2010-07-25"
"17461264-7","4","2010-06-02"
"17494047-6","4","2011-05-21"
"17585173-4","4","2012-07-06"
"17654326-2","4","2010-08-13"
"17814924-0","4","2012-05-05"
"17878980-0","4","2010-07-15"
"17978698-2","4","2012-07-30"
"17978708-k","4","2011-06-13"
"18247213-3","4","2010-08-01"
"18409648-9","4","2011-01-04"
"18630809-0","4","2010-12-02"
"18660825-4","4","2010-04-06"
"18809431-8","4","2012-04-27"
"19009863-0","4","2012-04-28"
"19033204-3","4","2011-02-17"
"19837396-5","4","2011-12-05"
"20780363-8","4","2011-09-21"
"20819150-8","4","2011-02-26"
"20849717-2","4","2012-02-14"
"8075594-k","4","2012-09-30"
"8147134-8","4","2012-03-19"
"8261464-7","4","2011-12-27"
"8304051-8","4","2010-10-09"
"8441542-7","4","2011-03-16"
"8712056-2","4","2012-03-18"
"8831228-0","4","2011-03-02"
"9044598-1","4","2012-07-02"
"9293347-5","4","2012-02-17"
"9321178-5","4","2010-07-14"
"9444324-8","4","2011-11-28"
"10036675-3","5","2012-02-09"
"10087763-k","5","2010-05-19"
"10297836-4","5","2011-05-30"
"10715773-7","5","2011-04-12"
"10945442-k","5","2012-01-11"
"10945442-k","5","2012-02-19"
"11211375-1","5","2012-03-14"
"11428132-4","5","2011-12-17"
"11522656-7","5","2012-06-12"
"11648952-8","5","2011-09-14"
"11702686-7","5","2012-06-28"
"12026162-1","5","2012-05-09"
"12026162-1","5","2012-08-20"
"12294463-4","5","2010-11-11"
"12700058-5","5","2012-02-08"
"12758246-0","5","2012-04-17"
"13559609-8","5","2011-08-26"
"13615018-5","5","2011-08-14"
"13810372-6","5","2011-07-15"
"14300378-8","5","2012-03-13"
"14335613-8","5","2012-03-26"
"14599165-7","5","2012-03-18"
"14917247-7","5","2012-06-14"
"14956748-9","5","2011-01-12"
"14969971-1","5","2011-03-07"
"15564211-2","5","2012-08-21"
"15638885-2","5","2012-05-02"
"16047416-1","5","2010-04-01"
"16167206-3","5","2012-03-01"
"16334864-0","5","2012-01-13"
"16494777-6","5","2010-07-05"
"16632628-2","5","2011-02-04"
"16710780-9","5","2010-05-12"
"16895570-k","5","2010-07-16"
"16915316-k","5","2010-11-12"
"17063081-1","5","2010-08-17"
"17155448-5","5","2010-12-13"
"17181473-0","5","2012-01-13"
"17227305-k","5","2012-05-19"
"17227791-4","5","2011-12-29"
"17464763-7","5","2012-06-25"
"17511451-0","5","2011-10-13"
"17785357-0","5","2012-01-09"
"17851180-7","5","2012-06-28"
"18552186-0","5","2012-07-09"
"18606698-6","5","2010-05-26"
"18661228-k","5","2012-02-19"
"18743719-5","5","2012-03-29"
"18753000-6","5","2010-05-24"
"18991769-1","5","2012-03-11"
"19156540-8","5","2010-07-25"
"19248773-0","5","2011-08-10"
"19334834-5","5","2012-04-08"
"19486455-7","5","2012-09-03"
"20187328-1","5","2010-12-25"
"20796416-9","5","2010-07-20"
"8111299-0","5","2012-06-14"
"8219361-0","5","2012-08-03"
"8234237-7","5","2012-07-24"
"8237412-6","5","2012-07-23"
"9054608-5","5","2012-08-31"
"9130385-5","5","2010-11-17"
"9257884-3","5","2011-06-30"
"9443932-4","5","2012-04-10"
"9633237-k","5","2011-07-24"
"9828461-8","5","2012-03-30"
"9901992-k","5","2010-09-27"
"9901992-k","5","2011-02-04"
"9962953-2","5","2011-12-26"
"9995143-6","5","2011-08-13"
"10522712-1","6","2011-02-03"
"10522712-1","6","2011-09-22"
"10550050-8","6","2012-03-31"
"10574225-1","6","2011-01-02"
"10754194-8","6","2012-01-03"
"10798961-2","6","2010-08-05"
"11203862-k","6","2010-06-03"
"11203862-k","6","2010-07-29"
"11454209-4","6","2010-07-22"
"11836950-7","6","2011-11-03"
"12108050-4","6","2010-06-26"
"12398878-3","6","2011-08-29"
"12419793-2","6","2012-02-11"
"12597738-3","6","2011-12-25"
"12828180-2","6","2012-03-31"
"13051844-8","6","2010-06-23"
"13093244-7","6","2010-04-01"
"13693803-5","6","2012-09-22"
"13697469-8","6","2010-04-11"
"13697469-8","6","2012-01-02"
"13917978-3","6","2011-11-26"
"14276815-2","6","2010-05-27"
"14387015-7","6","2010-12-28"
"14969971-1","6","2010-12-31"
"15177835-k","6","2011-06-07"
"15216115-k","6","2012-04-22"
"15620003-7","6","2011-03-05"
"15681363-5","6","2010-11-04"
"15717735-9","6","2011-08-06"
"16114768-4","6","2012-01-12"
"16167206-3","6","2011-03-08"
"16710780-9","6","2012-08-22"
"17303307-9","6","2010-04-25"
"17371250-5","6","2011-02-07"
"17660096-9","6","2012-05-28"
"17814924-0","6","2010-09-04"
"17901282-5","6","2012-09-30"
"18065628-4","6","2011-12-24"
"18129935-1","6","2012-09-03"
"18474437-5","6","2011-09-24"
"18660825-4","6","2011-07-17"
"18674335-1","6","2010-11-05"
"18753000-6","6","2011-01-21"
"19363861-8","6","2011-10-12"
"19486046-8","6","2010-07-17"
"19552856-3","6","2011-10-08"
"19984047-2","6","2011-02-02"
"20350018-6","6","2012-01-11"
"20361077-5","6","2012-04-28"
"20659036-2","6","2010-09-09"
"20670201-1","6","2011-08-31"
"20703144-9","6","2010-05-23"
"20714095-5","6","2012-04-11"
"8032534-9","6","2011-03-26"
"8128017-2","6","2010-10-01"
"8431864-6","6","2012-06-27"
"8685962-1","6","2012-03-17"
"8700222-4","6","2010-10-03"
"8700222-4","6","2011-05-16"
"9055945-1","6","2011-02-15"
"9152294-8","6","2011-07-12"
"9501589-0","6","2011-02-10"
"9682633-8","6","2010-04-03"
"10274120-1","7","2012-02-01"
"10313654-k","7","2012-04-25"
"10522712-1","7","2010-12-06"
"10605365-3","7","2011-09-11"
"10738513-2","7","2012-07-19"
"10766762-5","7","2010-05-14"
"10811644-4","7","2010-07-24"
"11123018-7","7","2011-06-25"
"11178250-k","7","2012-05-24"
"11227028-5","7","2010-07-03"
"11665981-8","7","2011-10-06"
"11756496-7","7","2010-11-10"
"11943813-5","7","2011-11-16"
"11947826-6","7","2010-10-03"
"11966213-6","7","2010-06-28"
"12156610-1","7","2011-12-20"
"12193723-9","7","2012-04-16"
"12419793-2","7","2011-10-23"
"12467789-6","7","2011-02-06"
"12535695-6","7","2011-09-10"
"12690699-2","7","2010-08-20"
"12700058-5","7","2011-01-06"
"12964476-k","7","2012-01-12"
"13541770-5","7","2010-11-24"
"13917978-3","7","2012-09-11"
"14016140-1","7","2010-12-17"
"14105296-k","7","2011-07-16"
"14298983-4","7","2010-11-06"
"14864252-0","7","2010-06-10"
"14969971-1","7","2012-01-20"
"15009284-4","7","2011-12-29"
"15122887-5","7","2011-02-19"
"15738269-9","7","2011-11-18"
"15775046-3","7","2012-02-27"
"15863818-8","7","2012-02-01"
"15866308-9","7","2010-10-26"
"15926953-4","7","2011-05-02"
"16036699-4","7","2010-04-02"
"16629894-8","7","2010-10-28"
"16728871-1","7","2012-01-18"
"16733473-6","7","2010-09-07"
"16873584-0","7","2012-06-26"
"16915316-k","7","2011-04-01"
"16944184-0","7","2011-06-10"
"17031562-k","7","2011-11-03"
"17219279-2","7","2011-11-11"
"17372403-3","7","2010-12-14"
"17372403-3","7","2011-10-17"
"17490348-7","7","2010-07-30"
"17534634-6","7","2010-10-31"
"17771891-0","7","2012-05-31"
"18077104-3","7","2011-07-23"
"18201436-4","7","2012-06-01"
"18630809-0","7","2012-06-14"
"18636428-8","7","2010-10-14"
"18636428-8","7","2012-01-13"
"18636657-k","7","2011-11-22"
"18963368-k","7","2010-04-22"
"19528301-0","7","2011-03-18"
"19934401-3","7","2011-07-15"
"20139439-8","7","2012-09-23"
"20424724-2","7","2011-07-05"
"20708637-2","7","2012-06-09"
"20796416-9","7","2011-06-10"
"20819150-8","7","2012-09-26"
"20888178-k","7","2012-07-29"
"20905067-k","7","2011-11-24"
"8092094-4","7","2012-04-16"
"8184682-0","7","2011-10-27"
"8705278-3","7","2011-11-07"
