"CodigoD","CodigoCA","RutCliente","Porcentaje","Fecha_Inicio","Duracion"
"1","8","15905243-1","0,5","2012-05-14","171"
"2","9","14916521-3","0,3","2011-03-12","124"
"3","2","13451617-5","0,35","2012-07-04","150"
"4","1","15411573-1","0,1","2012-05-07","137"
"5","3","16907632-4","0,6","2012-05-02","62"
"6","5","15389778-6","0,1","2012-03-13","158"
"7","7","13705952-1","0,65","2012-07-21","10"
"8","6","20956755-4","0,7","2012-03-29","72"
"9","1","10811644-4","0,7","2012-06-27","36"
"10","8","12383272-4","0,55","2011-10-09","54"
"11","10","13579572-3","0,6","2010-03-26","158"
"12","9","10459712-1","0,15","2011-09-12","62"
"13","8","18331164-0","0,7","2010-04-12","114"
"14","6","15407187-1","0,65","2011-06-23","130"
"15","1","8882572-6","0,25","2010-08-11","114"
"16","3","15210943-3","0,15","2010-07-08","41"
"17","4","17253905-6","0,05","2011-02-08","151"
"18","1","16334864-0","0,4","2011-03-27","161"
"19","7","9621176-0","0,45","2012-04-14","153"
"20","9","13501648-8","0,2","2011-08-22","141"
"21","10","10647983-4","0,6","2010-06-14","102"
"22","3","11648952-8","0,5","2010-09-22","83"
"23","5","17651295-5","0,65","2012-04-01","176"
"24","3","14132290-1","0,1","2010-01-29","27"
"25","4","16439419-7","0,1","2011-06-28","88"
"26","10","17999616-6","0,6","2012-03-24","118"
"27","10","15113701-4","0,35","2010-06-17","63"
"28","10","9199929-7","0,25","2010-05-04","128"
"29","6","15210943-3","0,6","2011-07-15","102"
"30","1","20158464-6","0,5","2010-07-25","56"
"31","4","19927653-9","0,35","2011-10-25","154"
"32","9","16505716-0","0,2","2011-03-13","60"
"33","9","14894546-k","0,25","2011-10-10","62"
"34","9","19679534-6","0,35","2011-02-01","72"
"35","4","9901992-k","0,7","2011-11-20","122"
"36","9","10081293-7","0,55","2012-06-26","100"
"37","8","15485414-7","0,35","2011-07-06","31"
"38","1","15963325-4","0,6","2010-07-07","73"
"39","9","20563703-4","0,55","2011-06-18","121"
