"RutE","Nombre","Fecha_Nacimiento","Fono","Mail","Dirección","RutSupervisor","NúmSucursal"
"11074049-1","Curco Vein","1965-02-13","8-6504959","Curn@labutacacines.com","Republica 11, Santiago Centro","13654655-5","2"
"11211775-k","Severus Snape","1965-06-28","6-2999479","Sevnap@labutacacines.com","Hogwarts S/N, Puerto Varas",NULL,"5"
"12085157-1","Steven Wilson","1971-03-27","8-6660317","Stelso@labutacacines.com","Lastarria 22, Talcahuano",NULL,"4"
"12216021-8","Sancho Panza","1969-03-16","7-9938304","Sannza@labutacacines.com","La Mancha, 0012, Villarrica","16496359-7","3"
"12660345-k","Takeo Otori","1969-09-29","6-4065738","Takri@labutacacines.com","Yamagata, 504, Coquimbo",NULL,"6"
"12931016-9","Guaripolo Hernandez","1970-05-23","8-1552466","GuaoHe@labutacacines.com","Televisora 31, Ñuñoa",NULL,"1"
"12997271-0","Jim Morrison","1972-01-15","7-3862084","Jimson@labutacacines.com","Bellavista 1345, Providencia","16170896-2","1"
"13101240-3","Tarja Turunen","1975-02-26","8-3989756","Tarune@labutacacines.com","Padre Hurtado 1234, Villarrica","16496359-7","3"
"13202412-4","Bruce Wayne","1975-02-01","9-7507148","Brune@labutacacines.com","Estado 120, Coquimbo","12660345-k","6"
"13518915-8","Terra Brandford","1976-12-03","8-0229175","Terndf@labutacacines.com","Minas Narshe 002, Concepción","12085157-1","4"
"13654655-5","Tony Stark Jr.","1975-08-23","6-8674775","TonkJr@labutacacines.com","Estado 112, Santiago Centro","12660345-k","2"
"13674211-1","Sharon den Adel","1975-12-15","7-8599456","ShanAd@labutacacines.com","Tobalaba 666, Maipú","13654655-5","2"
"13802922-8","Cleopatra Cat","1975-10-01","6-9973661","CleaCa@labutacacines.com","Satelite 1224, Talcahuano","12085157-1","4"
"14206281-2","Squall Leonhart","1980-09-09","8-7580210","Squonh@labutacacines.com","Balamb 130, Concepción","12085157-1","4"
"14265510-k","Isaac Asimov","1980-02-03","9-5798828","Isamov@labutacacines.com","Vodka Russia 1933, Frutillar","11211775-k","5"
"14364195-7","Natasha Romanov","1978-10-17","7-5189684","Natoma@labutacacines.com","Vodka Russia 1933, Frutillar","11211775-k","5"
"14779137-2","Jun Pyo Hyun","1979-02-18","7-6230167","Junun@labutacacines.com","Patronato 110, Villarrica","16496359-7","3"
"15029980-k","Link Hyrule","1985-01-24","7-1980363","Linle@labutacacines.com","Hyrule 001, San Bernardo","13654655-5","2"
"15174821-2","Guil Esmiz","1983-08-03","8-0415922","Guiz@labutacacines.com","San Pablo 112, Coquimbo","12660345-k","6"
"15214176-6","Juan Andres Salfate","1984-12-31","9-0538969","JuaesS@labutacacines.com","Grecia 5030, Alto Hospicio","16495641-6","7"
"16170896-2","Ricitos Mágica","1989-07-27","9-6698900","Ricági@labutacacines.com","Antumapu 55, La Pintana",NULL,"1"
"16177721-5","Vivi Ornitier","1988-03-08","7-3790358","Vivtie@labutacacines.com","Dali Village 1000, Iquique","16495641-6","7"
"16253355-8","Juanita Flores","1990-03-05","9-9619434","Jualor@labutacacines.com","San Ignacio 129, Quilicura","12931016-9","1"
"16389686-2","Patricio Estrella","1990-03-12","6-2274703","PatEst@labutacacines.com","Fondo de Bikini 1034, Pudahuel","16170896-2","1"
"16495641-6","Valentina Roth","1987-09-12","8-2766494","ValaRo@labutacacines.com","Matucana 123, Alto Hospicio",NULL,"7"
"16496359-7","Aragorn Elessar","1989-05-11","8-4914658","Arales@labutacacines.com","Gondor, 012, Villarrica",NULL,"3"
"16546121-9","Johnny Bravo","1990-03-04","6-1630096","Johavo@labutacacines.com","Eliodoro Yañez 1204, Providencia","16170896-2","1"
"16761405-3","Bob Esponja","1989-11-20","6-9526935","Bobja@labutacacines.com","Fondo de Bikini 1034, Concepción","12085157-1","4"
"16873072-1","Johnny Herrrera","1987-12-04","8-9936316","Johrrr@labutacacines.com","El Rodeo 112, La Serena","12660345-k","6"
"17013467-4","Enzo Matrix","1992-08-10","6-8608275","Enzix@labutacacines.com","Salvador 111, Concepción","12085157-1","4"
"17105384-k","Edward Stark","1990-11-20","6-0560224","Edwark@labutacacines.com","Winterfell, 001, Puerto Varas","11211775-k","5"
"17478271-3","Juanin Juan Harry","1994-04-12","9-8330275","JuaanH@labutacacines.com","Televisora 31, Ñuñoa","12931016-9","1"
"17734858-2","Tulio Triviño","1990-10-04","7-3032333","Tulviñ@labutacacines.com","Televisora 31, Ñuñoa","16170896-2","1"
"17821346-0","Mico Micofono","1990-12-19","8-4261426","Micfon@labutacacines.com","Televisora 31, Ñuñoa","13654655-5","2"
"17822035-5","Lyra Belaqcua","1993-02-13","8-8743436","Lyrqcu@labutacacines.com","Kennedy 1104, Estación Central","13654655-5","2"
"8377987-5","Aureliano Buendía","1955-06-21","8-2967678","AuroBu@labutacacines.com","Macondo, 1993, Iquique","16495641-6","7"
"8487535-1","Hortensio Girafales","1950-12-04","7-7454723","HoroGi@labutacacines.com","San Pablo 1000, Pudahuel","12931016-9","1"
"8691599-6","José Arcadio","1955-06-21","9-5789300","Josdio@labutacacines.com","Macondo, 1993, Iquique","16495641-6","7"
"8953971-4","Jimmy Raynor","1955-07-12","8-8727606","Jimnor@labutacacines.com","Base Terran 1440, Coquimbo","12660345-k","6"
"9583715-4","Jimmy Hendrix","1956-04-25","9-8538383","Jimdri@labutacacines.com","Lastarria 22, La Serena","12660345-k","6"
