"RutE","Actividad"
"12931016-9","chequear limpieza"
"12931016-9","probar salidas de emergencia"
"12931016-9","revisar iluminación"
"13202412-4","revisar iluminación"
"13654655-5","chequear limpieza"
"13654655-5","probar salidas de emergencia"
"13654655-5","revisar iluminación"
"13654655-5","verificar estado de butacas"
"13802922-8","chequear limpieza"
"13802922-8","probar salidas de emergencia"
"13802922-8","revisar audio"
"13802922-8","revisar iluminación"
"13802922-8","verificar estado de butacas"
"14206281-2","revisar iluminación"
"14265510-k","chequear limpieza"
"14364195-7","chequear limpieza"
"14364195-7","probar salidas de emergencia"
"14364195-7","revisar audio"
"14364195-7","verificar estado de butacas"
"15029980-k","chequear limpieza"
"15029980-k","probar salidas de emergencia"
"15029980-k","revisar iluminación"
"16389686-2","probar salidas de emergencia"
"16389686-2","revisar audio"
"16389686-2","verificar estado de butacas"
"16495641-6","chequear limpieza"
"16495641-6","revisar audio"
"16495641-6","verificar estado de butacas"
"16496359-7","chequear limpieza"
"16496359-7","revisar iluminación"
"9583715-4","verificar estado de butacas"
