"CódigoT","RutC","CódigoH","CódigoPeli","NúmSala","NúmSucur","Premium","Forma_Compra","Punto_Sumado"
"4","10606931-7","29","41","2","6","si","efectivo","100"
"5","10399371-6","550","75","9","1","no","tarjeta","19"
"21","18660825-4","48","93","4","1","no","tarjeta","80"
"27","9507902-2","98","17","4","5","si","efectivo","60"
"29","9497827-6","369","31","6","1","no","efectivo","26"
"36","10738513-2","27","16","5","1","no","efectivo","19"
"40","10811644-4","288","84","5","2","no","tarjeta","76"
"42","12656082-k","527","107","2","2","si","efectivo","18"
"45","15787804-8","456","116","3","7","no","efectivo","90"
"46","15652727-2","118","33","11","4","no","efectivo","32"
"48","19679534-6","41","24","4","1","no","efectivo","47"
"50","9751365-6","150","39","5","7","no","tarjeta","94"
"51","18049175-k","326","65","7","4","no","efectivo","23"
"52","20764295-8","122","93","5","7","si","efectivo","73"
"59","18924857-0","570","78","4","7","si","efectivo","22"
"61","20361077-5","389","112","1","4","si","tarjeta","26"
"63","12765419-1","598","21","10","1","no","tarjeta","57"
"67","16846507-0","273","104","3","2","si","efectivo","40"
"69","18049175-k","412","57","5","6","si","tarjeta","21"
"70","19020353-8","554","40","5","5","no","tarjeta","39"
"80","15652727-2","484","78","6","2","no","tarjeta","91"
"95","14373370-8","491","78","8","1","no","tarjeta","68"
"104","16874860-8","481","18","1","5","no","efectivo","14"
"108","20764295-8","530","92","4","6","no","tarjeta","90"
"110","20971238-k","292","98","6","1","si","tarjeta","40"
"112","13810372-6","256","82","7","1","no","efectivo","38"
"121","17092438-2","34","23","1","6","no","tarjeta","19"
"122","9199929-7","287","87","2","1","no","efectivo","19"
"123","17031562-k","366","94","2","5","no","tarjeta","53"
"124","14132290-1","66","113","4","1","no","efectivo","80"
"126","9321178-5","229","99","9","1","si","efectivo","35"
"130","16765888-6","625","60","3","6","no","efectivo","73"
"131","20549985-9","582","83","8","1","no","tarjeta","38"
"132","8092094-4","478","4","8","1","no","tarjeta","64"
"133","19157604-7","245","87","7","7","no","efectivo","16"
"136","13426811-8","176","78","3","7","si","tarjeta","16"
"140","8092094-4","416","54","3","5","si","tarjeta","76"
"151","12383272-4","196","82","8","1","no","efectivo","29"
"157","19927653-9","569","4","4","7","no","efectivo","62"
"169","19973449-7","287","87","2","1","si","efectivo","67"
"170","11135976-6","228","52","7","1","si","efectivo","22"
"174","10348708-7","649","94","1","2","si","efectivo","22"
"176","10006458-2","421","70","10","2","no","tarjeta","48"
"179","9647496-8","466","82","5","6","si","tarjeta","82"
"184","16439783-k","431","66","9","1","si","tarjeta","63"
"185","20518780-8","382","13","8","1","no","tarjeta","65"
"188","10459712-1","285","29","13","1","no","efectivo","24"
"190","11276563-9","27","16","5","1","no","efectivo","41"
"195","13693803-5","312","19","2","1","no","tarjeta","86"
"200","20956755-4","522","15","3","7","no","efectivo","76"
"203","16765728-4","223","88","3","4","no","tarjeta","36"
"205","10019146-1","591","61","7","1","no","efectivo","84"
"208","8389163-2","496","21","6","7","si","efectivo","20"
"211","12656082-k","475","112","5","2","no","tarjeta","38"
"212","18600532-8","261","110","8","6","no","efectivo","23"
"217","19294495-9","407","18","9","4","no","tarjeta","78"
"219","9507902-2","234","25","4","3","si","efectivo","55"
"224","10542388-9","481","18","1","5","si","efectivo","94"
"225","10459712-1","636","90","2","4","si","efectivo","26"
"229","10811644-4","263","94","2","1","si","tarjeta","13"
"232","18206492-4","633","84","3","4","si","tarjeta","41"
"236","19970660-k","495","57","2","5","no","tarjeta","11"
"237","10584155-4","612","29","9","2","si","efectivo","79"
"238","17393327-0","441","98","5","2","no","tarjeta","48"
"239","10036675-3","261","110","8","6","no","tarjeta","44"
"241","17888292-3","98","17","4","5","si","tarjeta","65"
"247","10818037-7","188","73","2","2","si","tarjeta","11"
"256","16274390-4","156","68","3","2","si","efectivo","60"
"262","9596812-6","52","111","5","1","si","efectivo","94"
"264","15777229-1","308","44","11","1","no","efectivo","14"
"267","20567956-4","449","105","8","4","si","tarjeta","79"
"269","20216754-5","406","25","10","2","si","tarjeta","86"
"270","11610579-3","231","60","9","1","si","tarjeta","93"
"273","13618160-7","165","12","5","6","si","efectivo","70"
"284","15411573-1","44","24","2","6","no","efectivo","73"
"288","16915316-k","376","59","10","1","no","efectivo","68"
"295","11681144-4","299","52","4","2","si","efectivo","82"
"312","16505716-0","146","9","12","4","si","tarjeta","42"
"318","20414207-0","536","28","4","7","no","tarjeta","12"
"325","10928461-8","461","83","3","7","no","efectivo","51"
"329","10313918-0","94","96","2","6","si","efectivo","72"
"333","8252253-7","201","42","3","3","si","efectivo","83"
"336","14916521-3","282","74","2","5","no","tarjeta","16"
"345","13451617-5","447","54","8","6","si","tarjeta","81"
"351","13001416-0","84","3","12","4","si","tarjeta","81"
"353","16907632-4","323","54","8","1","no","tarjeta","28"
"355","15018324-3","115","16","11","4","si","tarjeta","47"
"368","19954170-0","183","71","14","1","no","tarjeta","54"
"373","18660825-4","257","53","6","4","no","efectivo","69"
"374","20287021-8","143","93","2","6","no","tarjeta","30"
"376","20216754-5","12","32","4","5","no","tarjeta","45"
"378","10592245-9","656","116","1","2","no","tarjeta","62"
"382","11163437-7","295","81","3","6","si","tarjeta","71"
"387","8261464-7","206","10","8","4","no","efectivo","100"
"394","17461603-k","569","4","4","7","si","efectivo","23"
"395","19927653-9","595","53","2","1","no","efectivo","58"
"398","19979491-4","557","102","6","1","si","efectivo","74"
