"CodigoT","RutC","CodigoH","CodigoPeli","NumSala","NumSucur"
"2711","20017419-6","1","93","12","4"
"2954","12484992-8","2","115","12","4"
"1524","14553164-2","3","3","5","7"
"1704","11751504-6","3","3","5","7"
"2321","8927431-k","3","3","5","7"
"2590","12193723-9","3","3","5","7"
"1551","19774171-6","5","48","12","4"
"2710","16491069-4","5","48","12","4"
"343","20714095-5","6","6","4","5"
"1482","17631522-4","6","6","4","5"
"1646","10693941-0","6","6","4","5"
"1739","14932061-0","6","6","4","5"
"2147","18743719-5","6","6","4","5"
"2181","14149723-3","6","6","4","5"
"1828","17371250-5","7","109","5","3"
"2309","11558474-8","7","109","5","3"
"697","11292358-5","8","35","8","2"
"2023","14599488-k","8","35","8","2"
"1026","14701782-6","9","35","5","1"
"1525","14341626-9","9","35","5","1"
"1775","17206394-k","9","35","5","1"
"1856","10727844-8","9","35","5","1"
"2003","16728871-1","9","35","5","1"
"2188","13603059-3","9","35","5","1"
"1900","18516050-1","10","9","4","1"
"2573","10754194-8","10","9","4","1"
"2663","10945442-k","10","9","4","1"
"678","9136245-5","12","32","4","5"
"1391","16326039-k","12","32","4","5"
"2527","12161292-9","12","32","4","5"
"2564","14401608-5","12","32","4","5"
"2616","15796743-5","12","32","4","5"
"647","20214213-3","13","111","7","2"
"1553","10462208-2","13","111","7","2"
"1905","13715843-9","13","111","7","2"
"2883","11665981-8","13","111","7","2"
"152","13635774-5","14","1","4","1"
"2521","19335110-1","14","1","4","1"
"2360","9828461-8","15","91","4","5"
"1097","19417697-k","16","20","12","4"
"1094","14558175-k","17","118","5","3"
"2794","19837396-5","17","118","5","3"
"289","20949049-6","18","41","11","4"
"515","15247554-3","19","113","2","6"
"1424","16846561-4","19","113","2","6"
"268","11369817-0","20","27","8","2"
"808","18743719-5","20","27","8","2"
"1517","19355543-6","20","27","8","2"
"2067","14917247-7","20","27","8","2"
"2537","20849721-8","20","27","8","2"
"2701","20064244-5","20","27","8","2"
"910","20401942-7","21","113","5","3"
"1444","13798388-0","21","113","5","3"
"2118","19315065-7","21","113","5","3"
"2269","8891180-4","21","113","5","3"
"2687","15682738-4","21","113","5","3"
"99","19575731-6","22","24","5","3"
"1300","12700058-5","22","24","5","3"
"285","11893748-7","23","108","11","4"
"987","20226010-9","23","108","11","4"
"2580","18636657-k","24","6","11","4"
"66","15653202-7","25","50","2","6"
"747","11007082-7","25","50","2","6"
"1428","10774675-3","25","50","2","6"
"279","13736347-9","26","6","2","6"
"1221","11061492-2","26","6","2","6"
"1574","14105296-k","26","6","2","6"
"2270","16564057-9","26","6","2","6"
"844","18324513-2","27","16","5","1"
"1339","9828461-8","27","16","5","1"
"1365","10444682-9","27","16","5","1"
"1476","20535525-0","27","16","5","1"
"1812","19575731-6","27","16","5","1"
"2010","14956748-9","27","16","5","1"
"2111","10627199-5","27","16","5","1"
"2729","17626467-5","27","16","5","1"
"2982","17800863-3","27","16","5","1"
"83","10195028-0","28","96","5","3"
"79","10686854-8","29","41","2","6"
"1694","13177183-6","29","41","2","6"
"1813","11896298-8","29","41","2","6"
"43","18134625-4","30","89","4","1"
